State_Name,District_Name,Crop_Year,Season,Crop,Area_Hectares,Production_Tonnes,Yield_Per_Hectare,Temperature_Avg,Rainfall_MM
Gujarat,District_1,2018,Summer,Sugarcane,4720.79,908.28,0.192,23.1,255.1
Haryana,District_2,2021,Kharif,Rice,196.35,1638.2,8.343,21.6,62.6
Tamil Nadu,District_3,2020,Summer,Cotton,602.79,753.41,1.25,21.3,185.2
West Bengal,District_4,2021,Kharif,Mustard,1378.26,4865.56,3.53,21.6,439.6
Gujarat,District_5,2021,Rabi,Cotton,6648.62,40057.61,6.025,33.2,286.6
Madhya Pradesh,District_6,2021,Kharif,Wheat,1608.57,8555.44,5.319,21.4,395.2
Punjab,District_7,2021,Kharif,Pulses,1772.78,14095.16,7.951,22.1,363.8
Gujarat,District_8,2022,Summer,Maize,620.56,10194.39,16.428,18.8,97.6
Tamil Nadu,District_9,2022,Summer,Sugarcane,1936.2,2980.43,1.539,26.5,239.5
West Bengal,District_10,2019,Rabi,Mustard,1218.42,15138.72,12.425,24.7,37.3
Haryana,District_11,2018,Kharif,Cotton,223.98,9113.81,13.386217961980568,19.3,85.7
Tamil Nadu,District_12,2021,Kharif,Soybean,2423.42,25826.82,10.657,20.5,452.2
Tamil Nadu,District_13,2019,Kharif,Wheat,2894.0,1496.19,0.517,32.7,109.1
Punjab,District_14,2018,Rabi,Soybean,2448.83,219.83,0.09,25.2,33.3
Karnataka,District_15,2023,Rabi,Sugarcane,1133.8,14298.02,12.611,25.5,743.2
West Bengal,District_16,2020,Rabi,Mustard,421.5,5037.44,11.951,25.5,232.7
Maharashtra,District_17,2022,Rabi,Wheat,108.94,1912.05,17.551,32.0,273.6
Tamil Nadu,District_18,2023,Rabi,Mustard,1283.12,2079.27,1.62,19.8,67.7
Karnataka,District_19,2018,Summer,Maize,3235.51,137589.44,11.547757512842603,23.0,186.3
Maharashtra,District_20,2023,Kharif,Barley,2967.67,1137.64,0.383,24.2,182.4
West Bengal,District_21,2020,Kharif,Wheat,2480.15,828.85,0.334,16.4,76.9
Uttar Pradesh,District_22,2018,Kharif,Soybean,1018.2,3387.77,3.327,20.4,129.6
Madhya Pradesh,District_23,2023,Kharif,Sugarcane,3253.43,17513.66,5.383,30.2,44.7
Karnataka,District_24,2022,Kharif,Pulses,2763.25,90907.97,7.284258523084201,28.8,112.5
Rajasthan,District_25,2022,Kharif,Maize,718.64,7990.81,11.119,29.7,323.5
Uttar Pradesh,District_26,2019,Kharif,Barley,2157.27,443.36,0.206,22.1,81.7
Madhya Pradesh,District_27,2023,Kharif,Pulses,641.65,57313.78,7.740117803855475,22.7,682.6
Punjab,District_28,2021,Summer,Rice,1881.88,2895.16,1.538,16.1,47.0
Gujarat,District_29,2023,Kharif,Maize,299.13,848.47,2.836,29.7,120.5
Haryana,District_30,2018,Summer,Sugarcane,323.04,590.47,1.828,30.5,87.8
Rajasthan,District_31,2018,Rabi,Cotton,3159.62,10451.42,3.308,30.4,128.5
Punjab,District_32,2023,Kharif,Wheat,2800.52,4265.2,1.523,33.0,444.6
West Bengal,District_33,2020,Rabi,Mustard,2066.5,5002.1,2.421,27.1,67.5
Punjab,District_34,2022,Rabi,Sugarcane,1197.47,20532.3,17.146,32.8,103.4
Gujarat,District_35,2018,Rabi,Wheat,100.36,894.95,8.917,24.0,250.5
West Bengal,District_36,2022,Summer,Pulses,1017.52,23138.01,8.148411554087353,16.2,159.9
Rajasthan,District_37,2018,Rabi,Mustard,1727.07,1368.22,0.792,29.3,170.7
Gujarat,District_38,2019,Rabi,Groundnut,642.44,76573.86,6.16804107733952,16.0,68.6
Maharashtra,District_39,2021,Rabi,Soybean,537.81,7318.12,13.607,25.9,140.2
Haryana,District_40,2018,Kharif,Rice,4649.06,749.68,0.161,29.8,367.0
Rajasthan,District_41,2022,Kharif,Maize,1032.47,142.86,0.138,26.6,41.0
Maharashtra,District_42,2019,Summer,Sugarcane,1728.13,10030.51,5.804,36.4,85.0
Madhya Pradesh,District_43,2018,Summer,Rice,2378.28,1700.59,0.715,15.2,34.7
Rajasthan,District_44,2020,Kharif,Cotton,402.85,2360.55,5.86,24.6,228.1
Madhya Pradesh,District_45,2021,Summer,Wheat,1330.36,9407.8,7.072,25.1,395.6
West Bengal,District_46,2018,Kharif,Wheat,4103.7,13570.05,3.307,18.3,128.2
Maharashtra,District_47,2019,Rabi,Sugarcane,6763.01,18686.67,2.763,19.2,66.4
Haryana,District_48,2020,Rabi,Barley,1141.32,511.7,0.448,20.8,68.0
Gujarat,District_49,2023,Summer,Barley,864.42,25307.15,7.731596203699452,19.5,117.0
Tamil Nadu,District_50,2019,Kharif,Groundnut,1435.15,1250.67,0.871,24.5,116.7
Punjab,District_1,2019,Kharif,Soybean,1399.17,101.05,0.072,22.0,307.8
Uttar Pradesh,District_2,2020,Summer,Mustard,4388.57,508.94,0.116,26.6,86.9
Haryana,District_3,2019,Kharif,Cotton,404.89,4134.15,10.211,28.2,210.2
Maharashtra,District_4,2020,Rabi,Rice,828.92,686.62,0.828,27.9,116.2
Tamil Nadu,District_5,2018,Summer,Barley,358.83,2612.16,7.28,22.9,81.8
Haryana,District_6,2020,Summer,Groundnut,398.58,4951.17,12.422,26.4,113.9
Maharashtra,District_7,2020,Kharif,Groundnut,1598.11,2270.88,1.421,30.2,194.3
Karnataka,District_8,2021,Summer,Sugarcane,2464.78,1420.08,0.576,27.2,308.6
Karnataka,District_9,2020,Kharif,Cotton,572.84,456.67,0.797,34.3,121.3
Madhya Pradesh,District_10,2020,Kharif,Pulses,2373.44,3080.71,1.298,29.9,56.6
Haryana,District_11,2023,Kharif,Mustard,3332.84,134.63,0.04,33.6,330.2
Karnataka,District_12,2018,Kharif,Soybean,7590.9,1065.29,0.14,12.5,72.3
Maharashtra,District_13,2021,Kharif,Maize,1175.85,741.24,0.63,25.5,182.8
